NA.;NA..1;NA..2;NA..3;NA..4;NA..5
Industry applications;Industries;Agriculture;Aeroponics;Smart agriculture;
Industry applications;Industries;Agriculture;Airline industry;;
Industry applications;Industries;Agriculture;Architecture;;
Industry applications;Industries;Agriculture;Beverage industry;;
Industry applications;Industries;Agriculture;Chemical industry;;
Industry applications;Industries;Agriculture;Coal industry;;
Industry applications;Industries;Agriculture;Communication industry;;
Industry applications;Industries;Agriculture;Computer industry;;
Industry applications;Industries;Agriculture;Construction;;
Industry applications;Industries;Agriculture;Construction;Buildings;
Industry applications;Industries;Agriculture;Construction;Green buildings;
Industry applications;Industries;Agriculture;Construction;Modular construction;
Industry applications;Industries;Agriculture;Construction;Prefabricated construction;
Industry applications;Industries;Agriculture;Construction;Stairs;
Industry applications;Industries;Agriculture;Construction industry;;
Industry applications;Industries;Agriculture;Construction industry;Prefabricated construction;
Industry applications;Industries;Agriculture;Defense industry;;
Industry applications;Industries;Agriculture;Electrical engineering industry;;
Industry applications;Industries;Agriculture;Entertainment industry;;
Industry applications;Industries;Agriculture;Entertainment industry;Sports;
Industry applications;Industries;Agriculture;Farming;;
Industry applications;Industries;Agriculture;Financial industry;;
Industry applications;Industries;Agriculture;Financial industry;Banking;
Industry applications;Industries;Agriculture;Financial industry;Financial services;
Industry applications;Industries;Agriculture;Gas industry;;
Industry applications;Industries;Agriculture;Horticulture;;
Industry applications;Industries;Agriculture;Horticulture;Hydroponics;
Industry applications;Industries;Agriculture;Information industry;;
Industry applications;Industries;Agriculture;Manufacturing industries;;
Industry applications;Industries;Agriculture;Manufacturing industries;Aerospace industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Cement industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Ceramics industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Clothing industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Electrical products industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Electronics industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Food industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Footwear industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Fuel processing industries;
Industry applications;Industries;Agriculture;Manufacturing industries;Glass industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Machinery production industries;
Industry applications;Industries;Agriculture;Manufacturing industries;Metal product industries;
Industry applications;Industries;Agriculture;Manufacturing industries;Plastics industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Pulp and paper industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Rubber industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Shipbuilding industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Textile industry;
Industry applications;Industries;Agriculture;Manufacturing industries;Toy manufacturing industry;
Industry applications;Industries;Agriculture;Metals industry;;
Industry applications;Industries;Agriculture;Mining industry;;
Industry applications;Industries;Agriculture;Mining industry;Coal mining;
Industry applications;Industries;Agriculture;Natural gas industry;;
Industry applications;Industries;Agriculture;Petroleum industry;;
Industry applications;Industries;Agriculture;Petroleum industry;Oil drilling;
Industry applications;Industries;Agriculture;Petroleum industry;Oil refineries;
Industry applications;Industries;Agriculture;Petroleum industry;Well logging;
Industry applications;Industries;Agriculture;Power industry;;
Industry applications;Industries;Agriculture;Power industry;Electrical equipment industry;
Industry applications;Industries;Agriculture;Power industry;Electricity supply industry;
Industry applications;Industries;Agriculture;Power industry;Nuclear facility regulation;
Industry applications;Industries;Agriculture;Power industry;Power system interconnection;
Industry applications;Industries;Agriculture;Steel industry;;
Industry applications;Industries;Agriculture;Sugar industry;;
Industry applications;Industries;Agriculture;Sugar industry;Sugar refining;
Industry applications;Industries;Agriculture;Textile technology;;
Industry applications;Industries;Agriculture;Textile technology;Spinning;
Industry applications;Industries;Agriculture;Textile technology;Weaving;
Industry applications;Industries;Agriculture;Tourism industry;;
Industry applications;Industries;Agriculture;Toy industry;;
Industry applications;Industries;Agriculture;Transportation industry;;
Industry applications;Industries;Agriculture;Wood industry;;
Industry applications;Inspection;;;;
Industry applications;Inspection;Automatic optical inspection;;;
Industry applications;Machinery;;;;
Industry applications;Machinery;Agricultural machinery;;;
Industry applications;Machinery;Agricultural machinery;Agricultural robots;;
Industry applications;Machinery;Agricultural machinery;Ball bearings;;
Industry applications;Machinery;Agricultural machinery;Belts;;
Industry applications;Machinery;Agricultural machinery;Drives;;
Industry applications;Machinery;Agricultural machinery;Drives;Hydraulic drives;
Industry applications;Machinery;Agricultural machinery;Drives;Motor drives;
Industry applications;Machinery;Agricultural machinery;Drives;Variable speed drives;
Industry applications;Machinery;Agricultural machinery;Electric machines;;
Industry applications;Machinery;Agricultural machinery;Electric machines;AC machines;
Industry applications;Machinery;Agricultural machinery;Electric machines;Alternators;
Industry applications;Machinery;Agricultural machinery;Electric machines;Brushless machines;
Industry applications;Machinery;Agricultural machinery;Electric machines;Compressors;
Industry applications;Machinery;Agricultural machinery;Electric machines;Conductors;
Industry applications;Machinery;Agricultural machinery;Electric machines;DC machines;
Industry applications;Machinery;Agricultural machinery;Electric machines;Electric fences;
Industry applications;Machinery;Agricultural machinery;Electric machines;Generators;
Industry applications;Machinery;Agricultural machinery;Electric machines;Permanent magnet machines;
Industry applications;Machinery;Agricultural machinery;Electric machines;Rotating machines;
Industry applications;Machinery;Agricultural machinery;Electric machines;Rotors;
Industry applications;Machinery;Agricultural machinery;Electric machines;Stators;
Industry applications;Machinery;Agricultural machinery;Electric machines;Washing machines;
Industry applications;Machinery;Agricultural machinery;Fans;;
Industry applications;Machinery;Agricultural machinery;Furnaces;;
Industry applications;Machinery;Agricultural machinery;Furnaces;Blast furnaces;
Industry applications;Machinery;Agricultural machinery;Furnaces;Kilns;
Industry applications;Machinery;Agricultural machinery;Gears;;
Industry applications;Machinery;Agricultural machinery;Gears;Magnetic gears;
Industry applications;Machinery;Agricultural machinery;Hydraulic systems;;
Industry applications;Machinery;Agricultural machinery;Hydraulic systems;Electrohydraulics;
Industry applications;Machinery;Agricultural machinery;Hydraulic systems;Hydraulic equipment;
Industry applications;Machinery;Agricultural machinery;Hydraulic systems;Hydraulic fluids;
Industry applications;Machinery;Agricultural machinery;Machine components;;
Industry applications;Machinery;Agricultural machinery;Machine components;Air cleaners;
Industry applications;Machinery;Agricultural machinery;Machine components;Belts;
Industry applications;Machinery;Agricultural machinery;Machine components;Cams;
Industry applications;Machinery;Agricultural machinery;Machine components;Engine cylinders;
Industry applications;Machinery;Agricultural machinery;Machine components;Exhaust systems;
Industry applications;Machinery;Agricultural machinery;Machine components;Impellers;
Industry applications;Machinery;Agricultural machinery;Machine components;Intake systems;
Industry applications;Machinery;Agricultural machinery;Machine components;Manifolds;
Industry applications;Machinery;Agricultural machinery;Machine components;Mechanical splines;
Industry applications;Machinery;Agricultural machinery;Machine components;Pistons;
Industry applications;Machinery;Agricultural machinery;Machine components;Rotors;
Industry applications;Machinery;Agricultural machinery;Machine components;Shafts;
Industry applications;Machinery;Agricultural machinery;Machine components;Valves;
Industry applications;Machinery;Agricultural machinery;Motors;;
Industry applications;Machinery;Agricultural machinery;Motors;AC motors;
Industry applications;Machinery;Agricultural machinery;Motors;Brushless motors;
Industry applications;Machinery;Agricultural machinery;Motors;Commutation;
Industry applications;Machinery;Agricultural machinery;Motors;DC motors;
Industry applications;Machinery;Agricultural machinery;Motors;Electric motors;
Industry applications;Machinery;Agricultural machinery;Motors;Hysteresis motors;
Industry applications;Machinery;Agricultural machinery;Motors;Induction motors;
Industry applications;Machinery;Agricultural machinery;Motors;Micromotors;
Industry applications;Machinery;Agricultural machinery;Motors;Permanent magnet motors;
Industry applications;Machinery;Agricultural machinery;Motors;Servomotors;
Industry applications;Machinery;Agricultural machinery;Motors;Traction motors;
Industry applications;Machinery;Agricultural machinery;Motors;Universal motors;
Industry applications;Machinery;Agricultural machinery;Printing machinery;;
Industry applications;Machinery;Agricultural machinery;Pumps;;
Industry applications;Machinery;Agricultural machinery;Pumps;Fuel pumps;
Industry applications;Machinery;Agricultural machinery;Pumps;Heat pumps;
Industry applications;Machinery;Agricultural machinery;Pumps;Insulin pumps;
Industry applications;Machinery;Agricultural machinery;Pumps;Micropumps;
Industry applications;Machinery;Agricultural machinery;Pumps;Water pumps;
Industry applications;Machinery;Agricultural machinery;Textile machinery;;
Industry applications;Machinery;Agricultural machinery;Textile machinery;Spinning machines;
Industry applications;Manufacturing;;;;
Industry applications;Manufacturing;Assembly;;;
Industry applications;Manufacturing;Assembly;Fitting;;
Industry applications;Manufacturing;Assembly;Fitting;Microassembly;
Industry applications;Manufacturing;Assembly;Fitting;Preforms;
Industry applications;Manufacturing;Assembly;Fitting;Soldering;
Industry applications;Manufacturing;Assembly;Assembly systems;;
Industry applications;Manufacturing;Assembly;Assembly systems;Flexible electronics;
Industry applications;Manufacturing;Assembly;Assembly systems;Robotic assembly;
Industry applications;Manufacturing;Assembly;Embossing;;
Industry applications;Manufacturing;Assembly;Fabrication;;
Industry applications;Manufacturing;Assembly;Fabrication;Bonding processes;
Industry applications;Manufacturing;Assembly;Fabrication;Microfabrication;
Industry applications;Manufacturing;Assembly;Fabrication;Optical device fabrication;
Industry applications;Manufacturing;Assembly;Fabrication;Soldering;
Industry applications;Manufacturing;Assembly;Fabrication;Welding;
Industry applications;Manufacturing;Assembly;Fourth Industrial Revolution;;
Industry applications;Manufacturing;Assembly;Green manufacturing;;
Industry applications;Manufacturing;Assembly;Lithography;;
Industry applications;Manufacturing;Assembly;Lithography;Colloidal lithography;
Industry applications;Manufacturing;Assembly;Lithography;Extreme ultraviolet lithography;
Industry applications;Manufacturing;Assembly;Lithography;Interferometric lithography;
Industry applications;Manufacturing;Assembly;Lithography;Nanolithography;
Industry applications;Manufacturing;Assembly;Lithography;Soft lithography;
Industry applications;Manufacturing;Assembly;Lithography;Stereolithography;
Industry applications;Manufacturing;Assembly;Lithography;X-ray lithography;
Industry applications;Manufacturing;Assembly;Manufactured products;;
Industry applications;Manufacturing;Assembly;Manufactured products;Ceramic products;
Industry applications;Manufacturing;Assembly;Manufactured products;Chemical products;
Industry applications;Manufacturing;Assembly;Manufactured products;Consumer products;
Industry applications;Manufacturing;Assembly;Manufactured products;Electrical products;
Industry applications;Manufacturing;Assembly;Manufactured products;Food products;
Industry applications;Manufacturing;Assembly;Manufactured products;Fuels;
Industry applications;Manufacturing;Assembly;Manufactured products;Glass products;
Industry applications;Manufacturing;Assembly;Manufactured products;Mechanical products;
Industry applications;Manufacturing;Assembly;Manufactured products;Metal products;
Industry applications;Manufacturing;Assembly;Manufactured products;Paper products;
Industry applications;Manufacturing;Assembly;Manufactured products;Paper pulp;
Industry applications;Manufacturing;Assembly;Manufactured products;Plastic products;
Industry applications;Manufacturing;Assembly;Manufactured products;Rubber products;
Industry applications;Manufacturing;Assembly;Manufactured products;Sports equipment;
Industry applications;Manufacturing;Assembly;Manufactured products;Textile products;
Industry applications;Manufacturing;Assembly;Manufactured products;Tools;
Industry applications;Manufacturing;Assembly;Manufactured products;Windows;
Industry applications;Manufacturing;Assembly;Manufacturing systems;;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Agile manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Automobile manufacture;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Batch production systems;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Blanking;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Cellular manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Flow production systems;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Food manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Forging;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Glass manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Integrated manufacturing systems;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Intelligent manufacturing systems;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Job production systems;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Joining processes;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Layered manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Lean production;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Manufacturing processes;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Mass production;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Melt processing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Pulp manufacturing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Sheet metal processing;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Thermoforming;
Industry applications;Manufacturing;Assembly;Manufacturing systems;Three-dimensional printing;
Industry applications;Manufacturing;Assembly;Mass customization;;
Industry applications;Manufacturing;Assembly;Smart manufacturing;;
Industry applications;Manufacturing;Assembly;Tolerance analysis;;
Industry applications;Packaging;;;;
Industry applications;Packaging;Bagging;;;
Industry applications;Packaging;Bagging;Bottling;;
Industry applications;Packaging;Bagging;Canning;;
Industry applications;Packaging;Bagging;Encapsulation;;
Industry applications;Packaging;Bagging;Food packaging;;
Industry applications;Packaging;Bagging;Labeling;;
Industry applications;Packaging;Bagging;Multichip modules;;
Industry applications;Packaging;Bagging;Nanopackaging;;
Industry applications;Packaging;Bagging;Plastic packaging;;
Industry applications;Packaging;Bagging;Wrapping;;
Industry applications;Paper technology;;;;
Industry applications;Production;;;;
Industry applications;Production;Ball milling;;;
Industry applications;Production;Ball milling;Compression molding;;
Industry applications;Production;Ball milling;Embossing;;
Industry applications;Production;Ball milling;Food products;;
Industry applications;Production;Ball milling;Food products;Dairy products;
Industry applications;Production;Ball milling;Food products;Fats;
Industry applications;Production;Ball milling;Food products;Food security;
Industry applications;Production;Ball milling;Food products;Food waste;
Industry applications;Production;Ball milling;Food products;Sugar;
Industry applications;Production;Ball milling;Group technology;;
Industry applications;Production;Ball milling;Injection molding;;
Industry applications;Production;Ball milling;Materials processing;;
Industry applications;Production;Ball milling;Materials processing;Annealing;
Industry applications;Production;Ball milling;Materials processing;Bleaching;
Industry applications;Production;Ball milling;Materials processing;Casting;
Industry applications;Production;Ball milling;Materials processing;Coatings;
Industry applications;Production;Ball milling;Materials processing;Curing;
Industry applications;Production;Ball milling;Materials processing;Etching;
Industry applications;Production;Ball milling;Materials processing;Heat treatment;
Industry applications;Production;Ball milling;Materials processing;Joining processes;
Industry applications;Production;Ball milling;Materials processing;Lamination;
Industry applications;Production;Ball milling;Materials processing;Laser materials processing;
Industry applications;Production;Ball milling;Materials processing;Machining;
Industry applications;Production;Ball milling;Materials processing;Melt processing;
Industry applications;Production;Ball milling;Materials processing;Plasma materials processing;
Industry applications;Production;Ball milling;Materials processing;Plating;
Industry applications;Production;Ball milling;Materials processing;Pressing;
Industry applications;Production;Ball milling;Materials processing;Punching;
Industry applications;Production;Ball milling;Materials processing;Refining;
Industry applications;Production;Ball milling;Materials processing;Shearing;
Industry applications;Production;Ball milling;Materials processing;Smelting;
Industry applications;Production;Ball milling;Materials processing;Softening;
Industry applications;Production;Ball milling;Materials processing;Swaging;
Industry applications;Production;Ball milling;Materials processing;Vapor deposition;
Industry applications;Production;Ball milling;Mechanical products;;
Industry applications;Production;Ball milling;Mechanical products;Automotive components;
Industry applications;Production;Ball milling;Mechanical products;Axles;
Industry applications;Production;Ball milling;Mechanical products;Bellows;
Industry applications;Production;Ball milling;Mechanical products;Blades;
Industry applications;Production;Ball milling;Mechanical products;Brakes;
Industry applications;Production;Ball milling;Mechanical products;Couplings;
Industry applications;Production;Ball milling;Mechanical products;Fasteners;
Industry applications;Production;Ball milling;Mechanical products;Flanges;
Industry applications;Production;Ball milling;Mechanical products;Gears;
Industry applications;Production;Ball milling;Mechanical products;Hoses;
Industry applications;Production;Ball milling;Mechanical products;Machine components;
Industry applications;Production;Ball milling;Mechanical products;Mechanical guides;
Industry applications;Production;Ball milling;Mechanical products;Needles;
Industry applications;Production;Ball milling;Mechanical products;Orifices;
Industry applications;Production;Ball milling;Mechanical products;Pistons;
Industry applications;Production;Ball milling;Mechanical products;Pressure vessels;
Industry applications;Production;Ball milling;Mechanical products;Seals;
Industry applications;Production;Ball milling;Mechanical products;Springs;
Industry applications;Production;Ball milling;Mechanical products;Steering systems;
Industry applications;Production;Ball milling;Mechanical products;Structural shapes;
Industry applications;Production;Ball milling;Mechanical products;Tires;
Industry applications;Production;Ball milling;Mechanical products;Vents;
Industry applications;Production;Ball milling;Mechanical products;Wheels;
Industry applications;Production;Ball milling;Process planning;;
Industry applications;Production;Ball milling;Process planning;Business process integration;
Industry applications;Production;Ball milling;Process planning;Business process management;
Industry applications;Production;Ball milling;Process planning;Cause effect analysis;
Industry applications;Production;Ball milling;Process planning;Root cause analysis;
Industry applications;Production;Ball milling;Production control;;
Industry applications;Production;Ball milling;Production control;Continuous production;
Industry applications;Production;Ball milling;Production control;Lot sizing;
Industry applications;Production;Ball milling;Production control;Optimized production technology;
Industry applications;Production;Ball milling;Production control;Scheduling;
Industry applications;Production;Ball milling;Production engineering;;
Industry applications;Production;Ball milling;Production engineering;Production planning;
Industry applications;Production;Ball milling;Production equipment;;
Industry applications;Production;Ball milling;Production equipment;Applicators;
Industry applications;Production;Ball milling;Production equipment;Clamps;
Industry applications;Production;Ball milling;Production equipment;Cutting tools;
Industry applications;Production;Ball milling;Production equipment;Fixtures;
Industry applications;Production;Ball milling;Production equipment;Machine tools;
Industry applications;Production;Ball milling;Production equipment;Mining equipment;
Industry applications;Production;Ball milling;Production equipment;Molding equipment;
Industry applications;Production;Ball milling;Production equipment;Packaging machines;
Industry applications;Production;Ball milling;Production equipment;Paper making machines;
Industry applications;Production;Ball milling;Production equipment;Polishing machines;
Industry applications;Production;Ball milling;Production equipment;Soldering equipment;
Industry applications;Production;Ball milling;Production facilities;;
Industry applications;Production;Ball milling;Production facilities;Foundries;
Industry applications;Production;Ball milling;Production facilities;Greenhouses;
Industry applications;Production;Ball milling;Production facilities;Industrial facilities;
Industry applications;Production;Ball milling;Production facilities;Industrial plants;
Industry applications;Production;Ball milling;Production facilities;Machine shops;
Industry applications;Production;Ball milling;Production facilities;Paper mills;
Industry applications;Production;Ball milling;Production management;;
Industry applications;Production;Ball milling;Production management;Control charts;
Industry applications;Production;Ball milling;Production management;Inventory management;
Industry applications;Production;Ball milling;Production management;Lead time reduction;
Industry applications;Production;Ball milling;Production management;Logistics;
Industry applications;Production;Ball milling;Production management;Process planning;
Industry applications;Production;Ball milling;Production management;Production planning;
Industry applications;Production;Ball milling;Production materials;;
Industry applications;Production;Ball milling;Production materials;Abrasives;
Industry applications;Production;Ball milling;Production materials;Aerospace materials;
Industry applications;Production;Ball milling;Production materials;Automotive materials;
Industry applications;Production;Ball milling;Production materials;Inhibitors;
Industry applications;Production;Ball milling;Production materials;Ink;
Industry applications;Production;Ball milling;Production materials;Joining materials;
Industry applications;Production;Ball milling;Production materials;Lubricants;
Industry applications;Production;Ball milling;Production materials;Retardants;
Industry applications;Production;Ball milling;Production systems;;
Industry applications;Production;Ball milling;Production systems;Assembly systems;
Industry applications;Production;Ball milling;Production systems;Exhaust systems;
Industry applications;Production;Ball milling;Production systems;Intelligent manufacturing systems;
Industry applications;Production;Ball milling;Production systems;Lean production;
Industry applications;Production;Ball milling;Production systems;Manufacturing systems;
Industry applications;Production;Ball milling;Production systems;Steering systems;
Industry applications;Production;Ball milling;Productivity;;
Industry applications;Production;Ball milling;Shafts;;
Industry applications;Production;Ball milling;Shafts;Camshafts;
Industry applications;Production;Ball milling;Springs;;
Industry applications;Production;Ball milling;Transfer molding;;
Industry applications;Safety;;;;
Industry applications;Safety;Aerospace safety;;;
Industry applications;Safety;Aerospace safety;Air safety;;
Industry applications;Safety;Aerospace safety;Domestic safety;;
Industry applications;Safety;Aerospace safety;Domestic safety;Fall detection;
Industry applications;Safety;Aerospace safety;Emergency services;;
Industry applications;Safety;Aerospace safety;Explosion protection;;
Industry applications;Safety;Aerospace safety;Fire safety;;
Industry applications;Safety;Aerospace safety;Hazards;;
Industry applications;Safety;Aerospace safety;Hazards;Biohazards;
Industry applications;Safety;Aerospace safety;Hazards;Chemical hazards;
Industry applications;Safety;Aerospace safety;Hazards;Explosions;
Industry applications;Safety;Aerospace safety;Hazards;Fires;
Industry applications;Safety;Aerospace safety;Hazards;Flammability;
Industry applications;Safety;Aerospace safety;Hazards;Floods;
Industry applications;Safety;Aerospace safety;Hazards;Hazardous areas;
Industry applications;Safety;Aerospace safety;Hazards;Hazardous materials;
Industry applications;Safety;Aerospace safety;Hazards;Toxicology;
Industry applications;Safety;Aerospace safety;Health and safety;;
Industry applications;Safety;Aerospace safety;Health and safety;Occupational health;
Industry applications;Safety;Aerospace safety;Health and safety;Occupational safety;
Industry applications;Safety;Aerospace safety;Health and safety;Personal protective equipment;
Industry applications;Safety;Aerospace safety;Marine safety;;
Industry applications;Safety;Aerospace safety;Product safety;;
Industry applications;Safety;Aerospace safety;Protection;;
Industry applications;Safety;Aerospace safety;Protection;Electrostatic discharge protection;
Industry applications;Safety;Aerospace safety;Protection;Explosion protection;
Industry applications;Safety;Aerospace safety;Protection;Lightning protection;
Industry applications;Safety;Aerospace safety;Protection;Radiation protection;
Industry applications;Safety;Aerospace safety;Public security;;
Industry applications;Safety;Aerospace safety;Radiation safety;;
Industry applications;Safety;Aerospace safety;Radiation safety;Radiation protection;
Industry applications;Safety;Aerospace safety;Radiation safety;Radiofrequency safety;
Industry applications;Safety;Aerospace safety;Safety devices;;
Industry applications;Safety;Aerospace safety;Safety devices;Eye protection;
Industry applications;Safety;Aerospace safety;Safety devices;Fire extinguishers;
Industry applications;Safety;Aerospace safety;Safety devices;Protective clothing;
Industry applications;Safety;Aerospace safety;Safety management;;
Industry applications;Safety;Aerospace safety;Vehicle safety;;
Industry applications;Safety;Aerospace safety;Vehicle safety;Advanced driver assistance systems;
Industry applications;Safety;Aerospace safety;Vehicle safety;Lane departure warning systems;
Industry applications;Safety;Aerospace safety;Vehicle safety;Lane detection;
Industry applications;Security;;;;
Industry applications;Security;Access control;;;
Industry applications;Security;Access control;Accesslists;;
Industry applications;Security;Access control;Accesslists;Authorization;
Industry applications;Security;Access control;Accesslists;Blocklists;
Industry applications;Security;Access control;Accesslists;Multi-factor authentication;
Industry applications;Security;Access control;Accesslists;Non-repudiation;
Industry applications;Security;Access control;Accesslists;Passwords;
Industry applications;Security;Access control;Alarm systems;;
Industry applications;Security;Access control;Alarm systems;Smoke detectors;
Industry applications;Security;Access control;Capability-based security;;
Industry applications;Security;Access control;Computer security;;
Industry applications;Security;Access control;Computer security;Application security;
Industry applications;Security;Access control;Computer security;Authentication;
Industry applications;Security;Access control;Computer security;Cloud computing security;
Industry applications;Security;Access control;Computer security;Computer crime;
Industry applications;Security;Access control;Computer security;Computer hacking;
Industry applications;Security;Access control;Computer security;Cross-site scripting;
Industry applications;Security;Access control;Computer security;Cyber espionage;
Industry applications;Security;Access control;Computer security;Cyber warfare;
Industry applications;Security;Access control;Computer security;Cyberattack;
Industry applications;Security;Access control;Computer security;Data integrity;
Industry applications;Security;Access control;Computer security;Denial-of-service attack;
Industry applications;Security;Access control;Computer security;Firewalls (computing);
Industry applications;Security;Access control;Computer security;Honey pot (computing);
Industry applications;Security;Access control;Computer security;Identity management systems;
Industry applications;Security;Access control;Computer security;Internet security;
Industry applications;Security;Access control;Computer security;Mobile security;
Industry applications;Security;Access control;Computer security;Passwords;
Industry applications;Security;Access control;Computer security;Penetration testing;
Industry applications;Security;Access control;Computer security;Permission;
Industry applications;Security;Access control;Computer security;Phishing;
Industry applications;Security;Access control;Computer security;Proof of Work;
Industry applications;Security;Access control;Computer security;Trusted computing;
Industry applications;Security;Access control;Control system security;;
Industry applications;Security;Access control;Control system security;Physical unclonable function;
Industry applications;Security;Access control;Cryptography;;
Industry applications;Security;Access control;Cryptography;Blockchains;
Industry applications;Security;Access control;Cryptography;Ciphers;
Industry applications;Security;Access control;Cryptography;Cryptocurrency;
Industry applications;Security;Access control;Cryptography;Cryptographic hash function;
Industry applications;Security;Access control;Cryptography;Encryption;
Industry applications;Security;Access control;Cryptography;Multi-party computation;
Industry applications;Security;Access control;Cryptography;Public key;
Industry applications;Security;Access control;Cryptography;Quantum cryptography;
Industry applications;Security;Access control;Cryptography;Random number generation;
Industry applications;Security;Access control;Cryptography;Side-channel attacks;
Industry applications;Security;Access control;Cryptography;Steganography;
Industry applications;Security;Access control;Cryptography;Zero knowledge proof;
Industry applications;Security;Access control;Data security;;
Industry applications;Security;Access control;Data security;Cryptography;
Industry applications;Security;Access control;Data security;Message authentication;
Industry applications;Security;Access control;Data security;Tokenization;
Industry applications;Security;Access control;Digital signatures;;
Industry applications;Security;Access control;Food security;;
Industry applications;Security;Access control;Hardware security;;
Industry applications;Security;Access control;Information security;;
Industry applications;Security;Access control;Information security;Cyber espionage;
Industry applications;Security;Access control;Information security;Data breach;
Industry applications;Security;Access control;Information security;Information leakage;
Industry applications;Security;Access control;Information security;Intrusion detection;
Industry applications;Security;Access control;Information security;Phishing;
Industry applications;Security;Access control;Information security;Privacy breach;
Industry applications;Security;Access control;Information security;Social engineering (security);
Industry applications;Security;Access control;Information security;SQL injection;
Industry applications;Security;Access control;Information security;Trust management;
Industry applications;Security;Access control;Network security;;
Industry applications;Security;Access control;Network security;Network reconnaissance;
Industry applications;Security;Access control;Power system security;;
Industry applications;Security;Access control;Reconnaissance;;
Industry applications;Security;Access control;Security management;;
Industry applications;Security;Access control;Terrorism;;
Industry applications;Security;Access control;Terrorism;Bioterrorism;
Industry applications;Security;Access control;Terrorism;Cyber terrorism;
Industry applications;Security;Access control;Terrorism;National security;
Industry applications;Security;Access control;Watermarking;;
Industry applications;Security;Access control;Zero Trust;;
Industry applications;Wine industry;;;;
Industry applications;Wine industry;Wineries;;;
Information theory;Audio coding;;;;
Information theory;Biological information theory;;;;
Information theory;Channel coding;;;;
Information theory;Channel coding;Block codes;;;
Information theory;Channel coding;Block codes;Linear codes;;
Information theory;Channel coding;Block codes;Linear codes;Polar codes;
Information theory;Channel coding;Block codes;Combined source-channel coding;;
Information theory;Channel coding;Block codes;Turbo codes;;
Information theory;Codes;;;;
Information theory;Codes;Binary codes;;;
Information theory;Codes;Binary codes;Reflective binary codes;;
Information theory;Codes;Binary codes;Convolutional codes;;
Information theory;Codes;Binary codes;Cyclic redundancy check codes;;
Information theory;Codes;Binary codes;Error correction codes;;
Information theory;Codes;Binary codes;Error correction codes;Reed-Muller codes;
Information theory;Codes;Binary codes;Error correction codes;Reed-Solomon codes;
Information theory;Codes;Binary codes;Parity check codes;;
Information theory;Codes;Binary codes;Parity check codes;Iterative decoding;
Information theory;Codes;Binary codes;Product codes;;
Information theory;Codes;Binary codes;Product codes;Bar codes;
Information theory;Codes;Binary codes;Space-time codes;;
Information theory;Codes;Binary codes;Zero correlation zone;;
Information theory;Communication channels;;;;
Information theory;Communication channels;Channel allocation;;;
Information theory;Communication channels;Channel allocation;Spectral efficiency;;
Information theory;Communication channels;Channel allocation;Channel capacity;;
Information theory;Communication channels;Channel allocation;Channel estimation;;
Information theory;Communication channels;Channel allocation;Channel models;;
Information theory;Communication channels;Channel allocation;Channel spacing;;
Information theory;Communication channels;Channel allocation;Channel state information;;
Information theory;Communication channels;Channel allocation;Channel state information;Channel impulse response;
Information theory;Communication channels;Channel allocation;Gaussian channels;;
Information theory;Communication channels;Channel allocation;Gaussian channels;AWGN channels;
Information theory;Communication channels;Channel allocation;Multipath channels;;
Information theory;Communication channels;Channel allocation;Multiuser channels;;
Information theory;Communication channels;Channel allocation;Partial response channels;;
Information theory;Communication channels;Channel allocation;Quantum channels;;
Information theory;Communication channels;Channel allocation;Throughput;;
Information theory;Communication channels;Channel allocation;Time-varying channels;;
Information theory;Decoding;;;;
